ulasan,rasa,sambal,keramaian,kenyamanan,pelayanan,rating,sentimen
"Ayam goreng @matlengket wah gak jelas banget ini. Restonya sederhana tapi ruamenya minta ampun. Setelah ngeliat review dari bbrp vlogger salah 1 nya kak @kemalmochtar akhirnya nyobain juga. Walaupun rame tp pelayanannya cepet banget semua sudah tertata. Rasanya ayam gorengnya enak walaupun cm kyk bumbu kuning gt dan gak terlalu garing nyaris mirip masakan rumahan tp enak donk.. nasi uduknya juga berasa banget. Semur jengkolnya juga best loh. Utk harga sih standar ya. Ayamnya 18rb, semurnya 8rb... overall sih puas ya, nasinya ngasinya juga banyak. Ayamnya ayam kampung",BAGUS,BAGUS,BAGUS,BAGUS,BAGUS,5,1
"Ayam gorengnya cukup ok.. gurih.. tapi blom bisa mengalahkan rasa mbxk bexxk atau suxxti.. beberapa kali pesan disini utk acara kantor, selalu datang on time.",BAGUS,BAGUS,BAGUS,BAGUS,BAGUS,5,1
Ayam kungpaonua nendang bgt gk boonggg....manis....gurihh dan porsinyaaa 0assss bgttttt asliiiiiiiiii,BAGUS,NETRAL,NETRAL,NETRAL,NETRAL,4,1
Ayam nya sangat wangi dan empuk,BAGUS,NETRAL,NETRAL,NETRAL,NETRAL,4,1
Ayam tidak matang,BURUK,NETRAL,NETRAL,BURUK,NETRAL,2,0
Ayamnya dagingnya empuk,BAGUS,NETRAL,NETRAL,BAGUS,NETRAL,5,1
"Ayamnya hambar sekali, seperti kurang garam. pedas juga tidak pas. sangat mengecewakan",BURUK,NETRAL,NETRAL,BURUK,NETRAL,1,0
Ayamnya keciiill bangeeeeeeetttt ..,BURUK,NETRAL,NETRAL,BURUK,NETRAL,1,0
"Ayamnya mantab banget, apalagi sambelnya pedas manis bikin gw pengen lagi pengen lagi. Tempatnya sederhana tapi yang datang rame terus. Harganya sesuai sama rasa. BTW gw suka banget sama kepala ayamnya, miminal 3 kepala ayam lah yang gw makan.",BAGUS,BAGUS,NETRAL,NETRAL,NETRAL,4,1
Ayamnya ngak ada dagingnya,BURUK,NETRAL,NETRAL,BURUK,NETRAL,1,0
"Ayamnya pake ayam kampung yang muda. Terus dia modelnya emang ga digoreng kering, tapi tetap gurih. Ati ampelanya enak. Nasi uduknya juga yang nasinya misah-misah gitu loh, tapi satu porsinya gede banget. Better sharing buat 2 orang. Sambelnya pas. Penyajiannya cepeeeeeeeet banget. Selain itu harganya juga murah banget.",BAGUS,NETRAL,NETRAL,BAGUS,BAGUS,4,1
"B aja, dagingnya kaya kurang berasa gitu
Bakso kejunya juga kejunya sedikit kaya ""yg penting ada keju""
Kuahnya juga kurang mantep,ya mayanlah",NETRAL,NETRAL,NETRAL,NETRAL,NETRAL,1,0
Bagi saya harganya terlalu mahal dan porsinya sedikit tidak pantas .... Maaf ... saya tidak akan pernah makan di sini lagi ... Bad Resto,NETRAL,NETRAL,NETRAL,BURUK,BURUK,1,0
"Bagus, kesan rumah nya sangat terasa. Cocok untuk nongkrong sama teman teman",NETRAL,NETRAL,NETRAL,BAGUS,BAGUS,4,1
Bakal datang lagi,NETRAL,NETRAL,,BAGUS,NETRAL,5,1
"Bakminya unik karena kecil2 beda dengan mie karet kebanyakan. Bumbunya juga berani, gurih banget. Untuk pangsitnya sangat lembut, isiannya daging utuh yang cukup besar. Topping bakmienya juga beragam dan pas. Kuahnya gurih dan unik. Recommended!!",BAGUS,NETRAL,NETRAL,NETRAL,NETRAL,5,1
Banyak debu,NETRAL,NETRAL,NETRAL,BURUK,NETRAL,1,0
Banyak diskonnya,NETRAL,NETRAL,NETRAL,BAGUS,NETRAL,5,1
Banyak jenis makanannya,NETRAL,NETRAL,NETRAL,NETRAL,NETRAL,5,1
Banyak pilihan makanan indonesia. Sudah dari dulu makan di Pokdok Sambal dan rasanya tetap enak.,BAGUS,NETRAL,NETRAL,NETRAL,NETRAL,4,1
Banyak pilihan menu,NETRAL,NETRAL,NETRAL,NETRAL,NETRAL,5,1
Banyak promosi,NETRAL,NETRAL,NETRAL,BAGUS,BAGUS,5,1
Banyak sampah,NETRAL,NETRAL,NETRAL,BURUK,NETRAL,1,0
Banyak syarat dan ketentuan untuk promosinya,NETRAL,NETRAL,NETRAL,BURUK,NETRAL,2,0
Banyak variasi makanan,NETRAL,NETRAL,NETRAL,NETRAL,NETRAL,5,1
"Baru hari ini nyobain, beli terong (tanpa nasi) harganya 20ribu. Ini beneran harga terong ga pake nasi segini harganya? Masa harga terong sama Nasi + Ayam harganya cuma beda 3000?",NETRAL,NETRAL,NETRAL,BURUK,BURUK,1,0
"Baru pertama kali kesini dan langsung gaksuka. Pelayannya gapunya attitude, saya dan orangtua hanya sanggup disini selama 15 menit, itupun tidak ngapa2in.",NETRAL,NETRAL,NETRAL,BURUK,BURUK,2,0
"Baru pertama kali kesini, kirain bakal kayak toko dimsum sebelah. Ternyata disini nyaman bgt!! Pokoknya mantep deh kalo mau family time disini ????",NETRAL,NETRAL,NETRAL,BAGUS,BAGUS,4,1
"Barusan contact via telpon, agar ditambahkan menu di gofood, tapi dijawab tidak bisa.",NETRAL,NETRAL,NETRAL,BURUK,BURUK,2,0
Bau banget tempatnya,BURUK,NETRAL,NETRAL,BURUK,BURUK,2,0
Bebek gorengnya enak. Empuk. Tidak alot. Rasanya juga enak. Berasa bumbunya. Suami suka sama bebek remuk. Dimakan sekalian tulangnya. Sambalnya juga mantap. Lalapannya segar,BAGUS,BAGUS,NETRAL,NETRAL,NETRAL,4,1
"Beli ini pas lagi ada promo di grabfood, ayam goreng dan kremesannya gurih dan sambelnya lumayan pedas porsinya juga banyak boleh nih kalau mau coba",BAGUS,BAGUS,NETRAL,NETRAL,BAGUS,4,1
Bener bener maknyusss pokoke,BAGUS,NETRAL,NETRAL,BAGUS,NETRAL,4,1
"bener2 ga recommended banget. tempatnya sempit terus spot fotonya dikit sekali, outdoornya panas banget engap, ada spot foto diatas tapi setiap orang garus beli makann/minuman minimal 50rb dan itu gadikasih tau dulu sebelumnya. mba mba nya jutek banget. pokonya galagi2 deh kesini",NETRAL,NETRAL,NETRAL,BURUK,BURUK,2,0
bentuk kwetiau nya bukan tipikal kwetiau di resto2 Kwetiau sapi gitu karena lebih kecil tapi secara rasa oke banget. Well seasoned and smokey aroma nya the best!,BAGUS,NETRAL,NETRAL,NETRAL,NETRAL,4,1
"berhubung bawaan ngidam hamil pengen kulit ayam, jadi siang ini gw sama temen - temen kantor memutuskan utk makan disini, akhir nya gw pilih menu kulit ayam, tempe orek dan nasi. Di pertengahan makan, yang mengagetkan gw menemukan paku kecil di makanan gw. Setelah di report ke waiter dan mba - mba yang milih menu masih no response. Gw blg ke kasir hal ini cuma di tanyakan ""di ganti ya bu? atau mau gmn?"" Sebenarnya menu dsini cukup variatif, harga juga cukup terjangkau. Namun dgn kejadian spt ini dan service dr restaurant tsb jadi bikin ilfeel :(",NETRAL,NETRAL,NETRAL,BURUK,BURUK,2,0
"Berkali2 pesen gofood makanan ini.. Yg enak banget itu nasi uduk, bawang goreng, plus sambelnya.. Ayam ya biasa, ukurannya sangat kecil karena mungkin ini ayam kampung ya..

Gw belom pernah makan langsung di lokasi, biasanya cuma lewat jalanan samping warungnya dan selalu penuh pengunjung.. Haha..",BAGUS,BAGUS,NETRAL,NETRAL,NETRAL,5,1
Bersih dan rapi,NETRAL,NETRAL,NETRAL,BAGUS,BAGUS,4,1
Besok besok ngak mau datang ke sini lagi,BURUK,BURUK,NETRAL,BURUK,BURUK,1,0
Besok besok pasti datang ke sini,NETRAL,NETRAL,NETRAL,NETRAL,NETRAL,4,1
Besok pasti datang lagi ke sini,NETRAL,NETRAL,NETRAL,BAGUS,NETRAL,4,1
"Besok saya ajak keluarga saya kesini, makanannya super enak",BAGUS,NETRAL,NETRAL,NETRAL,NETRAL,5,1
"Best coffee shop in Pluit, love the ambience. Service cool everything. Will be my favorite. I ll keep coming here.",BAGUS,NETRAL,NETRAL,BAGUS,BAGUS,4,1
"Best hainan rice and chicken,servicenya jugaa bagus and baik2 bgt karyawannya?? disedian plastik juga buat masker very toughtful! Will come back here for sure??",BAGUS,NETRAL,NETRAL,BAGUS,BAGUS,4,1
Best of the best pokoke,NETRAL,NETRAL,NETRAL,BAGUS,BAGUS,5,1
"Best seafood in town!! Pesen kepiting lada hitam ini juara bgt dagingnya tebel banget, 1/2 porsi udah banyak menurut gue untuk 1 orang (128k), cumi goreng tepungnya jg enak (lupa harganya berapa). Next time mau cobain kepiting asapnya yg best seller. Untuk harga termasuk murah menurut gue ya dengan kualitas dan rasa yg super enak! pesen kepiting 1/2 porsi, cumi goreng tepung, cah tauge, nasi + minum total cuma 285k :)",BAGUS,NETRAL,NETRAL,NETRAL,NETRAL,5,1
Best seller,NETRAL,NETRAL,NETRAL,BAGUS,BAGUS,5,1
Best seller memang terbaik!!,BAGUS,BAGUS,NETRAL,BAGUS,BAGUS,5,1
Best seller nya ga enak banget,BURUK,NETRAL,NETRAL,NETRAL,NETRAL,2,0
Bikin kecanduan,NETRAL,NETRAL,NETRAL,BAGUS,NETRAL,5,1
Bikin ketagihan,BAGUS,NETRAL,NETRAL,BAGUS,NETRAL,5,1
Bikin nagih,BAGUS,NETRAL,NETRAL,BAGUS,NETRAL,5,1
Bikin pening harganya,NETRAL,NETRAL,NETRAL,BURUK,NETRAL,2,0
Bintang lima,NETRAL,NETRAL,NETRAL,BAGUS,BAGUS,5,1
Bisa sesuai dengan apa yang kita mau,NETRAL,NETRAL,NETRAL,BAGUS,BAGUS,4,1
Bisa-bisanya satu jam makanan baru datang,NETRAL,NETRAL,NETRAL,BURUK,BURUK,2,0
"Bravo Minang, lokasi parkir hanya khusus Tamu, satpamnya Ramah.",NETRAL,NETRAL,NETRAL,BAGUS,BAGUS,5,1
"Buat harga segitu jauh lebih mending beli bk atau carls sih. Mahal, ukuran kecil, dan rasanya b aja. You're just paying high price for the branding tbh. First and will be my last experience.",BURUK,BURUK,BURUK,BURUK,BURUK,3,0
"Buat kalian yg mau dtg lbh baik gausah booking krna sepi walau malming, drpd kalian ga di ksh tau peraturannya dan ""dipaksa"" masing"" org beli tanpa info dr awal. Marketing strategy isnt like that kalian ""sengaja"" ga ksh tau, hehe.",NETRAL,NETRAL,NETRAL,BURUK,BURUK,1,0
"Buka jam 10, saya datang jam 10.15, nunggu 15 menit gak ada pelayan yang datang ngasih menu, parahnya pelayan nya gak keliatan sama sekali. Terrible service.",NETRAL,NETRAL,NETRAL,BURUK,BURUK,2,0
"Buka jam 10, saya datang jam 10.15, nunggu 15 menit gak ada pelayan yang datang ngasih menu, parahnya pelayan nya gak keliatan sama sekali. Terrible service.",NETRAL,NETRAL,NETRAL,BURUK,BURUK,2,0
Buset! Cukup apes bisa makan di restoran ini! Cukup sekali deh! beneran.,NETRAL,NETRAL,NETRAL,BURUK,NETRAL,2,0
Buset! Cukup apes bisa makan di restoran ini! Cukup sekali deh! beneran.,NETRAL,NETRAL,NETRAL,BURUK,BURUK,1,0
Butuh waktu lama hanya untuk makanannya datang,NETRAL,NETRAL,NETRAL,BURUK,BURUK,1,0
Cintoi nya enak banget... Hakau + siomay + kaki ayam + lenghongkien + xiaolongbao ENAK BGT. Nga kaya dimsum yang murah murah sekarang isinya lemak doank. Tapi one dimsum uda diskon dan siomaynya mantap isinya daging bukan lemak atau samcan. Pasti bakal sering balik ajak keluarga kesini ??,BAGUS,NETRAL,NETRAL,BAGUS,NETRAL,4,1
"coba dong pelayannya tolong lebih respect sama cust nya (buat yg cewe nih) sumpah sebenci itu kemaren kesini trs piring kue gw yg jelas blm abis udh diangkat aja. pas mau bayar minta bil disuruh lngsng ke kasir yaudah kan eh tb2 temen pelayan yg cewe ini dtg ngasih bil trs pas gw bilang ""oke taro aja mba nanti saya ke kasir"" dia bilang ""skrng aja"" lah lo ngusir apa gmna? tlg dong ni gatau namanya suruh liburan aja dulu biar hepi kayanya kurang libur bgt. ciri2nya rambut panjang dikuncir mungkin gatau lupa pake kaos pull and bear.",NETRAL,NETRAL,NETRAL,BURUK,BURUK,1,0
"Coba pesan sambalnya, pasti tidak akan mengecewakan",BAGUS,BAGUS,NETRAL,BAGUS,NETRAL,4,1
"Coba semua menunya dan semuanya enak dan mengenyangkan! Puas bgt dgn harga segini, ditambah pelayanannya juara??",BAGUS,NETRAL,NETRAL,NETRAL,NETRAL,5,1
Cocok banget dengan seleraku,BAGUS,NETRAL,NETRAL,BAGUS,NETRAL,5,1
"Cocok banget untuk sarapan pagi, tempatnya bersih dan pelayanannya oke banget. Dimsumnya juga enak. Mantap lah pokoknya.",BAGUS,NETRAL,NETRAL,BAGUS,BAGUS,5,1
Cocok banget untuk turis datang ke sini makan-makan,NETRAL,NETRAL,NETRAL,BAGUS,BAGUS,5,1
Cocok untuk jadi tempat dating,NETRAL,NETRAL,NETRAL,BAGUS,BAGUS,5,1
Cocok untuk makan bareng keluarga,NETRAL,NETRAL,NETRAL,BAGUS,BAGUS,4,1
Cukup kali ini saja kesini,BURUK,BURUK,NETRAL,BURUK,BURUK,1,0
"cukup suka sama makanannya, tapi apa daya service nya butuh dibenerin apalagi mba sama manager on duty nya rese banget. tamunya kek ga diladenin dengan baik Dan benar, nunggu 10 menit buat sampe sadar kalau kita (aku sama ade) belum dikasi menu yg pdhl itu pas ga begitu rame",BAGUS,NETRAL,NETRAL,BURUK,BURUK,1,0
"Cuma bisa bilang buat gue tempat ini cuma mahal aja tapi rasanya gak ada yg spesial. Dan sedih karena baru pertama tapi pengalamannya buruk. Setidaknya udah pernah nyoba gitu aja sih.

Well semoga zomato gak hapus lagi review gue ya.",BURUK,NETRAL,NETRAL,BURUK,BURUK,2,0
Customer service hebat,NETRAL,NETRAL,NETRAL,BAGUS,BAGUS,5,1
Dabest pokoknya,NETRAL,NETRAL,NETRAL,BAGUS,BAGUS,5,1
Dagingnya empuk dan bumbunya berasa bangett ampe ke dalam dagingnya,BAGUS,NETRAL,NETRAL,BAGUS,NETRAL,4,1
Dagingnya hampir gak ada,BURUK,NETRAL,NETRAL,BURUK,NETRAL,1,0
"Dapur dan ruang makan sangat dekat, jadinya bersin terus",NETRAL,NETRAL,NETRAL,BURUK,NETRAL,3,0
Dari awal duduk direkomendasiin menu dan penyajian terenak ????,NETRAL,NETRAL,NETRAL,NETRAL,BAGUS,4,1
"Dari Jakarta ke Bogor buat bukber sama temen-temen dari Twitter ?? Tempatnya bagus, bersih, rapi. Menu bervariasi, harga lumayan mihil, pelayanan agak lambat, porsi kurang besar :'",BURUK,NETRAL,NETRAL,BAGUS,NETRAL,3,0
Dari saya datang sampai mau pesan.. Ga teratur.. Orang pesan sesuka hatinya.. Orang ambil piring sesuka hati.. Pokoknya kexewa dgn pelayanannya..,NETRAL,NETRAL,NETRAL,BURUK,BURUK,1,0
"Datang kesini untuk makan siang, dan sudah lama ingin makan yang pedas. Jujur sambal mereka enak sekali!",BAGUS,BAGUS,NETRAL,NETRAL,NETRAL,5,1
"Demi apa, ini makanan terenak yg pernah aku makan. Sambel nya itu loh, ciri khas banget",BAGUS,BAGUS,NETRAL,NETRAL,NETRAL,5,1
Desain restorannya keren,NETRAL,NETRAL,NETRAL,BAGUS,BAGUS,5,1
"Desain sangat kuno, tidak mengikuti perkembangan zaman",NETRAL,NETRAL,NETRAL,BURUK,NETRAL,2,0
Diabaikan pesanan kami,NETRAL,NETRAL,NETRAL,BURUK,BURUK,1,0
Dikit banget porsinya,BURUK,NETRAL,NETRAL,BURUK,BURUK,1,0
"Dimeja ditulis kl berikan review akan dpt ice cream, ternyata saat suami sdh beri review di zomato dng segala persyaratannya (hrs ada foto dll), ada saja alasannya sampai nunggu lama ice cream tdk datang jg. Tdk perlu menjanjikan kl mmg tdk bs menepati. Udh gitu lama bgt makanan datang tdk siap dng permintaan yg tinggi",NETRAL,NETRAL,NETRAL,BURUK,BURUK,1,0
"Dimeja ditulis kl berikan review akan dpt ice cream, ternyata saat suami sdh beri review di zomato dng segala persyaratannya (hrs ada foto dll), ada saja alasannya sampai nunggu lama ice cream tdk datang jg. Tdk perlu menjanjikan kl mmg tdk bs menepati. Udh gitu lama bgt makanan datang tdk siap dng permintaan yg tinggi",NETRAL,NETRAL,NETRAL,BURUK,BURUK,1,0
"DimSum banyak variasi, yummy, harga agak sedikit pricy.. tapi sesuai lah utk wilayah klp gading",BAGUS,NETRAL,NETRAL,NETRAL,NETRAL,5,1
Dimsum disini enak dan makanannya pun fresh,BAGUS,NETRAL,NETRAL,NETRAL,NETRAL,4,1
"Dimsum nya enakkk, ayam gorengnya juga enak. Tempat nya nyaman sih, tapi agak panas. Untuk cutlery nya uda disediain air panas. Good job ????????",BAGUS,NETRAL,NETRAL,BAGUS,BAGUS,4,1
"Dimsum nya uenak, non halal, tempat nya nyaman, luas terang, kalo khawatir kurang kenyang ada bbrp pilihan simple Chinese food yg gak kalah enak nya, must try poleng cah tahu isi nya yumm. Harga middle lah. Very worth the visit.",BAGUS,NETRAL,NETRAL,NETRAL,NETRAL,4,1
"Dimsum nya uenak, non halal, tempat nya nyaman, luas terang, kalo khawatir kurang kenyang ada bbrp pilihan simple Chinese food yg gak kalah enak nya, must try poleng cah tahu isi nya yumm. Harga middle lah. Very worth the visit.",BAGUS,NETRAL,NETRAL,NETRAL,BAGUS,4,1
Direkomendasiin temen buat cobain pempek megaria ini karna katanya enak. Kebetulan pas banget jadi kesini pas lg ngidam hahaha.,BAGUS,NETRAL,NETRAL,NETRAL,NETRAL,5,1
"DISAAT KONDISI PANDEMIC SEPERTI INI, SANGAT MENGECEWAKAN BAHWA RESTORAN SEKELAS ONE DIMSUM TIDAK MEMPERHATIKAN KEBERSIHAN DARI PERALATAN MAKAN YANG DIBERIKAN KEPADA TAMU. INI FOTO KONDISI PIRING ""BERSIH"" YANG DIBERIKAN DI MEJA SAYA, FYI PIRINGNYA BARU DIBERIKAN SETELAH KAMI TIBA, BUKAN SUDAH STANDBY DI MEJA. DALAM ARTIAN BAGIAN CUCI PIRING SAMA SEKALI TIDAK MENJAGA KEBERSIHAN DAN KEHIGIENISANNYA. SANGAT SANGAT MENGECEWAKAN. TERLEBIH LAGI SAAT SAYA TANYA, TERNYATA STORE MANAGER DI KELAPA GADING TIDAK HADIR! DAN TIDAK ADA YANG BERWENANG BERTANGGUNG JAWAB ATAS KEJADIAN TERSEBUT. TERLEBIH LAGI, SAAT KAMI MASUK RESTORAN SUDAH TIDAK DITERAPKAN LAGI PENGECEKAN SUHU HANYA DENGAN ALASAN KARYAWANNYA TERBATAS. BERARTI TIDAK ADA KEPEDULIAN DARI RESTORAN INI ATAS KONDISI PANDEMI SEPERTI INI",NETRAL,NETRAL,NETRAL,BURUK,BURUK,1,0
"Disini beneran cuma jual view/suasana. Kyknya ga mikirin soal rasa dari makanannya, atau emang yang kesini juga yg penting nongkrong?????",BURUK,NETRAL,NETRAL,NETRAL,NETRAL,2,0
"Disini mantap banget rasanya, ayamnya digoreng tapi masih bisa dapet moist dagingnya dan bumbu meresap. Kepala ayamnya enak dan cuma 1000 rupiah, sebagai cemilan ga bisa berenti. Kalo sedikit ekstrim boleh coba gigit tulangnya, herannya tulangnya lembut dan bisa di remuk dengan sekali gigitan. Lebih herannya lagi di dalam tulangnya ada ledakan rasa gurih yang enak banget, entah bumbu yang meresap atau sebangsa sumsum yang juga tercampur bumbu. Yang pasti enak banget. Sayang kita kehabisan kulitnya. Sudah kebayang pasti enak banget.",BAGUS,NETRAL,NETRAL,NETRAL,NETRAL,4,1
Diskonnya dikit,NETRAL,NETRAL,NETRAL,BURUK,NETRAL,2,0
Drunk waiter during open hour. She input double menu on the bill and cannot be cancel.,NETRAL,NETRAL,NETRAL,BURUK,BURUK,1,0
"Enaaaaak banget! Cukonya ngga pelit! Sambelnya pas! Suasanya rame sih, jadi harus cepet cepetan kalo mau coba semua jenis pempeknya. Ebi di atas pempeknya juga nambah gurih dari si pempek.",BAGUS,BAGUS,NETRAL,NETRAL,NETRAL,4,1
"Enaaakkk bgt serius ayamnya ???? gatau udah berapa kali makan disini intinya ketagihan bgt ??
Sekali makan bisa 3 ayam, 2 ampela dan 2 kulit ?? itu pun jg masih kurang, mau tiap hariiiii ajaa gitu makan mat lengket ??",BAGUS,NETRAL,NETRAL,NETRAL,NETRAL,4,1
Enak banget di lidah,BAGUS,NETRAL,NETRAL,BAGUS,NETRAL,5,1
Enak banget ini!!,BAGUS,NETRAL,NETRAL,NETRAL,NETRAL,5,1
Enak banget makanan dan minuman disini. Menu di resto ini masakan nusantara.,BAGUS,NETRAL,NETRAL,BAGUS,NETRAL,4,1
"Enak banget mienya tipis ga bikin eneg, satu porsi jujur kurang saking enaknya jg kali ya, tp bakso gorengnya b",BAGUS,NETRAL,NETRAL,NETRAL,NETRAL,5,1
Enak banget sumpah,BAGUS,NETRAL,NETRAL,NETRAL,NETRAL,4,1
"Enak banget, satu porsi saja ga cukup",BAGUS,NETRAL,NETRAL,NETRAL,NETRAL,5,1
ENAK BGT FIX WALAU RAME. FAVORITT BGT AYAMNYA ENAK SEMUANYA ENAK!!! Pokoknya ayam mat lengket itu ayam nasi uduk terenak yg pernah gue makan wkwkw,BAGUS,NETRAL,NETRAL,NETRAL,NETRAL,5,1
"Enak buat saya sih... Ayamnya mirip ayam goreng mardun bedanya ini mini sizenya, imut2, suka makan tusukan kulitnya, brutu dan ati ampela... Gak sehat? Ho oh gk sehat tapi enyaaak??, oh ya semur jengkolnya enak juga loh.. etapi bagi yg sukanya ayam goreng kering dan bersiiih jgn deh. Krn kadang2 ayam gorengnya suka maaih ada bulunya sehelai dua helai??, mungkin itu yg bikin gurihnya??",BAGUS,NETRAL,NETRAL,NETRAL,NETRAL,5,1
Enak dan harum. cocok untuk company dinner atau office lunch,BAGUS,NETRAL,NETRAL,NETRAL,NETRAL,4,1
Enak dan sesuai selera saya,BAGUS,NETRAL,NETRAL,NETRAL,NETRAL,5,1
"Enak dimsumnya.. harga nya affordable.. baik pelayanan.. tempat nyaman..utk staff bernama Fian, orgnya ramah dan sopan kepada customer....",BAGUS,NETRAL,NETRAL,BAGUS,BAGUS,5,1
Enak masakannya.. ayam bakarnya juga enak.. ikan bandengnya jg mantab.. pokoknya kalian wajib cobain ya guys..,BAGUS,NETRAL,NETRAL,NETRAL,NETRAL,5,1
Enak Mienya yg kangkungnya ??,BAGUS,NETRAL,NETRAL,NETRAL,NETRAL,4,1
Enak nasi nya dan sayur dan ayam nya.. Pelayanan nya juga cepat dan memuaskan.. Tingkatan teruss.. Dan serinh2 ad promo,BAGUS,NETRAL,NETRAL,BAGUS,BAGUS,4,1
Enak pake banget untuk semua jenis menu,BAGUS,NETRAL,NETRAL,NETRAL,NETRAL,4,1
Enak rekomended sih,NETRAL,NETRAL,NETRAL,,BAGUS,5,1
"enak sih enak, tapi layanan delivery nya 2 jam baru nyampe
yang nganter ga ada ramah2 nya
thumbs down lah buat layanan delivery nya.
udah tau banyak yg mesen bukannya nambah tenaga pengantar.
not reccomend deh buat delivery, bikin mood rusak aja",BAGUS,NETRAL,NETRAL,BURUK,BURUK,2,0
Enak tempat dan makanannya tidak mengecewakan.. worth the price ?????? bakal balik terus!!,BAGUS,NETRAL,NETRAL,BAGUS,NETRAL,5,1
"Enak, enak enak.. Ayamnya ayam kampung kecil dan mungil, jadi biasanya ga pernah cukup makan cuma satu.. Gw Biasa makan 2-3 ayam per sekali makan.. Belum lagi sate usus/ati-ampela nya yg ga kalah dasyat. Trus Makannya pakai nasi uduk dan sambal khas ulekan Bu Lily (owner nya)....",BAGUS,BAGUS,NETRAL,NETRAL,BAGUS,4,1
"Enak, gak mengecewakan.",BAGUS,NETRAL,NETRAL,NETRAL,NETRAL,5,1
"Enak, lokasi strategih, ramai",BAGUS,NETRAL,BAGUS,,NETRAL,5,1
Enakk” makanannya????,BAGUS,NETRAL,NETRAL,NETRAL,NETRAL,4,1
"enakkk banget as always semua pelayanan disini, protokol nya juga okee, pelayanan nya juga oke bangett, pelayanannya juga okee bangett ?? keep up the good work gyu kaku!",NETRAL,NETRAL,NETRAL,BAGUS,BAGUS,4,1
Enakkk nagih nasi liwetnya beneran recomended harganya bersahabat standar,BAGUS,NETRAL,NETRAL,NETRAL,NETRAL,4,1
Enakkkk bgt kepiting nya,BAGUS,NETRAL,NETRAL,NETRAL,NETRAL,5,1
"Enakkkkkkkkkkkkk, pilihan menunya banyak",BAGUS,NETRAL,NETRAL,NETRAL,NETRAL,4,1
Enaknya,BAGUS,NETRAL,NETRAL,NETRAL,NETRAL,5,1
Entahh kenapaaa banyak alotnya daripada empuknya.. hiks.,BURUK,NETRAL,NETRAL,BURUK,NETRAL,,0
Favorit banget,BAGUS,NETRAL,NETRAL,BAGUS,BAGUS,4,1
"First time getting here dan langsung jatuh cinta bgt sm tempat ini dan yakin bakalan sering balik kemari. Pas jg kali ya lg weekday siang jd bener2 minimal crowd bgt cuma few ppl dan minimum noise banget jd super peweee, lagunya soft pokoknya brasa bisa seharian spend time disana sambil me time",BAGUS,NETRAL,NETRAL,BAGUS,BAGUS,5,1
